iter	Passed	Remaining
0	71	35492
1	142	35476
2	212	35211
3	286	35481
4	356	35257
5	426	35138
6	499	35145
7	571	35176
8	643	35087
9	712	34907
10	781	34753
11	861	35032
12	935	35034
13	1008	35007
14	1082	34999
15	1189	35994
16	1315	37362
17	1388	37168
18	1459	36954
19	1533	36796
20	1606	36632
21	1676	36428
22	1746	36223
23	1813	35958
24	1883	35789
25	1951	35585
26	2026	35503
27	2096	35343
28	2164	35157
29	2235	35023
30	2303	34849
31	2372	34695
32	2444	34597
33	2521	34555
34	2589	34408
35	2659	34274
36	2728	34147
37	2803	34081
38	2877	34014
39	2947	33897
40	3018	33788
41	3094	33742
42	3165	33647
43	3235	33533
44	3307	33443
45	3378	33343
46	3458	33332
47	3533	33275
48	3608	33215
49	3678	33109
50	3751	33023
51	3820	32912
52	3887	32790
53	3960	32711
54	4031	32617
55	4099	32499
56	4172	32427
57	4245	32355
58	4316	32264
59	4392	32209
60	4459	32090
61	4532	32017
62	4605	31943
63	4676	31860
64	4751	31798
65	4820	31696
66	4895	31636
67	4967	31560
68	5041	31492
69	5117	31436
70	5189	31353
71	5262	31285
72	5334	31201
73	5403	31108
74	5476	31030
75	5552	30975
76	5629	30923
77	5710	30895
78	5788	30845
79	5865	30794
80	5937	30711
81	6009	30631
82	6080	30550
83	6156	30487
84	6225	30396
85	6296	30310
86	6369	30238
87	6442	30162
88	6513	30078
89	6584	29995
90	6655	29911
91	6724	29822
92	6795	29738
93	6864	29650
94	6935	29565
95	7010	29503
96	7083	29427
97	7152	29340
98	7223	29258
99	7299	29198
100	7372	29125
101	7446	29056
102	7520	28988
103	7592	28910
104	7666	28842
105	7739	28768
106	7817	28714
107	7893	28651
108	7973	28600
109	8047	28531
110	8123	28468
111	8192	28382
112	8267	28315
113	8339	28236
114	8410	28158
115	8485	28091
116	8556	28009
117	8629	27935
118	8698	27850
119	8769	27769
120	8842	27697
121	8913	27618
122	8989	27554
123	9061	27476
124	9130	27392
125	9199	27306
126	9272	27232
127	9345	27161
128	9420	27092
129	9496	27029
130	9571	26961
131	9640	26876
132	9711	26798
133	9784	26723
134	9859	26657
135	9932	26582
136	10015	26536
137	10089	26467
138	10164	26398
139	10235	26320
140	10305	26239
141	10379	26169
142	10453	26096
143	10525	26022
144	10598	25948
145	10669	25869
146	10741	25795
147	10816	25725
148	10885	25643
149	10954	25559
150	11028	25489
151	11101	25417
152	11176	25348
153	11247	25271
154	11320	25196
155	11393	25123
156	11467	25053
157	11541	24981
158	11610	24901
159	11682	24825
160	11756	24754
161	11828	24679
162	11900	24603
163	11970	24525
164	12043	24452
165	12120	24387
166	12196	24320
167	12279	24266
168	12353	24195
169	12429	24127
170	12505	24059
171	12576	23983
172	12650	23912
173	12723	23838
174	12797	23766
175	12870	23692
176	12947	23626
177	13020	23554
178	13091	23477
179	13163	23401
180	13236	23328
181	13308	23254
182	13382	23181
183	13455	23107
184	13527	23033
185	13601	22962
186	13676	22892
187	13751	22821
188	13821	22743
189	13895	22671
190	13964	22591
191	14037	22517
192	14106	22438
193	14182	22370
194	14254	22295
195	14327	22221
196	14410	22163
197	14493	22105
198	14562	22026
199	14635	21953
200	14713	21887
201	14784	21810
202	14860	21741
203	14930	21663
204	15004	21592
205	15078	21519
206	15150	21445
207	15224	21372
208	15297	21298
209	15370	21225
210	15448	21159
211	15578	21162
212	15652	21090
213	15725	21015
214	15798	20941
215	15868	20863
216	15939	20787
217	16015	20716
218	16085	20639
219	16159	20566
220	16230	20490
221	16306	20419
222	16374	20339
223	16449	20268
224	16524	20196
225	16605	20132
226	16679	20059
227	16753	19986
228	16832	19919
229	16907	19848
230	16984	19778
231	17061	19709
232	17129	19629
233	17203	19556
234	17275	19480
235	17345	19403
236	17419	19330
237	17490	19254
238	17563	19180
239	17640	19110
240	17715	19038
241	17787	18964
242	17863	18892
243	17934	18816
244	18008	18743
245	18081	18669
246	18153	18594
247	18228	18522
248	18301	18448
249	18377	18377
250	18447	18300
251	18523	18229
252	18599	18158
253	18670	18082
254	18745	18010
255	18833	17950
256	18911	17881
257	18984	17807
258	19060	17735
259	19131	17660
260	19203	17584
261	19275	17509
262	19349	17436
263	19425	17364
264	19500	17292
265	19572	17217
266	19644	17143
267	19716	17068
268	19786	16991
269	19857	16915
270	19932	16843
271	20003	16767
272	20076	16693
273	20149	16619
274	20223	16546
275	20298	16473
276	20370	16399
277	20439	16322
278	20514	16249
279	20588	16176
280	20662	16103
281	20735	16029
282	20809	15956
283	20885	15884
284	20962	15813
285	21046	15748
286	21119	15673
287	21192	15599
288	21263	15524
289	21338	15451
290	21413	15379
291	21486	15305
292	21559	15231
293	21629	15155
294	21704	15082
295	21779	15010
296	21856	14938
297	21925	14862
298	21997	14787
299	22068	14712
300	22143	14639
301	22219	14567
302	22291	14493
303	22366	14420
304	22437	14345
305	22511	14272
306	22584	14198
307	22659	14125
308	22732	14051
309	22804	13976
310	22878	13903
311	22951	13829
312	23025	13756
313	23103	13685
314	23187	13617
315	23266	13547
316	23344	13476
317	23414	13400
318	23489	13327
319	23560	13252
320	23630	13177
321	23703	13102
322	23777	13029
323	23851	12956
324	23924	12882
325	23998	12809
326	24073	12736
327	24147	12662
328	24220	12588
329	24294	12515
330	24368	12441
331	24442	12368
332	24515	12294
333	24587	12220
334	24662	12147
335	24735	12073
336	24809	11999
337	24884	11927
338	24957	11853
339	25029	11778
340	25098	11702
341	25172	11629
342	25243	11554
343	25319	11482
344	25410	11416
345	25484	11342
346	25565	11272
347	25642	11200
348	25717	11127
349	25788	11052
350	25862	10978
351	25937	10905
352	26011	10832
353	26082	10757
354	26154	10682
355	26230	10609
356	26305	10537
357	26378	10463
358	26454	10390
359	26528	10316
360	26601	10242
361	26674	10168
362	26748	10095
363	26822	10021
364	26894	9947
365	26970	9874
366	27045	9801
367	27119	9727
