iter	Passed	Remaining
0	135	67474
1	214	53359
2	291	48272
3	368	45752
4	460	45543
5	543	44730
6	615	43351
7	690	42468
8	764	41692
9	840	41172
10	917	40790
11	1004	40854
12	1086	40720
13	1216	42231
14	1301	42077
15	1404	42489
16	1516	43092
17	1617	43312
18	1730	43802
19	1809	43421
20	1888	43068
21	1962	42648
22	2049	42505
23	2137	42392
24	2217	42123
25	2307	42062
26	2409	42218
27	2508	42290
28	2607	42351
29	2710	42465
30	2818	42644
31	2919	42703
32	3000	42461
33	3074	42143
34	3149	41839
35	3227	41593
36	3300	41306
37	3378	41081
38	3455	40847
39	3528	40579
40	3604	40353
41	3684	40182
42	3763	40000
43	3845	39851
44	3918	39620
45	3987	39352
46	4072	39254
47	4148	39065
48	4225	38890
49	4312	38809
50	4395	38700
51	4472	38529
52	4545	38336
53	4619	38155
54	4694	37983
55	4774	37855
56	4848	37678
57	4920	37497
58	4995	37339
59	5084	37287
60	5156	37106
61	5234	36976
62	5309	36829
63	5384	36685
64	5458	36529
65	5531	36371
66	5604	36222
67	5696	36188
68	5774	36070
69	5851	35945
70	5921	35778
71	5993	35625
72	6070	35509
73	6147	35387
74	6226	35284
75	6319	35256
76	6396	35140
77	6471	35011
78	6546	34885
79	6625	34781
80	6704	34682
81	6778	34553
82	6853	34432
83	6928	34313
84	7002	34189
85	7075	34060
86	7149	33941
87	7227	33837
88	7305	33736
89	7379	33615
90	7455	33510
91	7529	33390
92	7604	33282
93	7678	33165
94	7765	33103
95	7835	32975
96	7910	32865
97	7985	32755
98	8064	32667
99	8138	32552
100	8210	32436
101	8283	32320
102	8373	32274
103	8457	32203
104	8535	32111
105	8617	32030
106	8700	31954
107	8775	31850
108	8852	31754
109	8924	31642
110	9000	31540
111	9074	31436
112	9154	31353
113	9225	31235
114	9298	31131
115	9377	31041
116	9452	30941
117	9532	30861
118	9605	30752
119	9680	30654
120	9764	30585
121	9845	30504
122	9919	30404
123	9994	30305
124	10081	30244
125	10157	30148
126	10235	30060
127	10306	29954
128	10378	29848
129	10471	29803
130	10549	29715
131	10626	29625
132	10702	29531
133	10777	29438
134	10854	29346
135	10935	29268
136	11007	29165
137	11083	29075
138	11157	28976
139	11236	28893
140	11311	28801
141	11391	28720
142	11462	28616
143	11541	28534
144	11615	28437
145	11694	28355
146	11775	28277
147	11863	28215
148	11937	28120
149	12013	28030
150	12083	27929
151	12158	27836
152	12232	27743
153	12307	27652
154	12382	27561
155	12459	27473
156	12564	27448
157	12635	27350
158	12710	27260
159	12787	27172
160	12862	27084
161	12939	26996
162	13015	26908
163	13089	26817
164	13165	26730
165	13241	26643
166	13317	26554
167	13392	26465
168	13465	26373
169	13539	26282
170	13621	26207
171	13695	26116
172	13770	26027
173	13853	25955
174	13929	25869
175	14003	25778
176	14079	25693
177	14152	25601
178	14227	25514
179	14305	25431
180	14380	25344
181	14454	25255
182	14528	25167
183	14614	25098
184	14699	25029
185	14779	24950
186	14852	24860
187	14926	24772
188	15001	24684
189	15088	24617
190	15170	24542
191	15245	24455
192	15324	24375
193	15398	24288
194	15473	24201
195	15549	24117
196	15623	24029
197	15696	23940
198	15771	23854
199	15861	23791
200	15935	23704
201	16011	23620
202	16091	23543
203	16164	23454
204	16245	23378
205	16317	23288
206	16394	23206
207	16469	23120
208	16543	23034
209	16621	22953
210	16713	22891
211	16792	22812
212	16870	22732
213	16949	22651
214	17031	22576
215	17147	22546
216	17221	22459
217	17296	22373
218	17368	22285
219	17444	22202
220	17520	22119
221	17597	22037
222	17674	21954
223	17744	21864
224	17822	21782
225	17905	21708
226	17981	21625
227	18056	21541
228	18132	21457
229	18205	21371
230	18284	21292
231	18360	21209
232	18434	21124
233	18517	21050
234	18603	20978
235	18678	20894
236	18770	20829
237	18848	20749
238	18927	20669
239	19010	20594
240	19088	20514
241	19167	20434
242	19246	20355
243	19321	20272
244	19394	20186
245	19470	20103
246	19544	20019
247	19626	19943
248	19698	19857
249	19774	19774
250	19846	19688
251	19931	19615
252	20009	19535
253	20094	19461
254	20167	19376
255	20241	19292
256	20316	19209
257	20392	19128
258	20464	19042
259	20543	18963
260	20617	18879
261	20694	18799
262	20773	18719
263	20861	18648
264	20941	18571
265	21020	18491
266	21102	18415
267	21177	18332
268	21250	18248
269	21323	18164
270	21400	18083
271	21478	18004
272	21558	17925
273	21634	17844
274	21709	17762
275	21789	17683
276	21869	17605
277	21952	17530
278	22029	17449
279	22106	17369
280	22182	17287
281	22258	17207
282	22334	17125
283	22411	17045
284	22492	16968
285	22569	16887
286	22643	16804
287	22719	16723
288	22799	16646
289	22885	16572
290	22973	16499
291	23051	16420
292	23131	16342
293	23208	16261
294	23288	16183
295	23364	16102
296	23439	16020
297	23516	15940
298	23588	15857
299	23668	15778
300	23744	15698
301	23819	15616
302	23894	15535
303	23979	15460
304	24058	15381
305	24160	15317
306	24248	15244
307	24328	15165
308	24402	15083
309	24475	15000
310	24557	14924
311	24632	14842
312	24710	14762
313	24783	14680
314	24861	14601
315	24934	14518
316	25030	14449
317	25106	14368
318	25180	14287
319	25256	14206
320	25331	14125
321	25405	14043
322	25480	13962
323	25562	13885
324	25640	13806
325	25723	13729
326	25794	13646
327	25873	13567
328	25946	13486
329	26027	13408
330	26100	13326
331	26178	13247
332	26252	13165
333	26327	13084
334	26404	13005
335	26490	12929
336	26587	12859
337	26667	12781
338	26746	12702
339	26823	12622
340	26900	12543
341	26978	12463
342	27067	12389
343	27146	12310
344	27222	12230
345	27303	12152
346	27378	12071
347	27456	11992
348	27531	11912
349	27605	11830
350	27680	11750
351	27758	11671
352	27837	11592
353	27917	11513
354	27993	11434
355	28078	11357
356	28152	11276
357	28230	11197
358	28303	11116
359	28384	11038
360	28461	10958
361	28536	10878
362	28611	10798
363	28686	10718
364	28765	10639
365	28841	10559
366	28918	10480
367	28997	10401
368	29070	10320
369	29165	10247
370	29241	10167
371	29318	10088
372	29394	10008
373	29477	9930
374	29557	9852
375	29636	9773
376	29714	9694
377	29794	9616
378	29869	9536
379	29946	9456
380	30021	9376
381	30109	9300
382	30187	9221
383	30266	9143
384	30345	9064
385	30423	8985
386	30502	8906
387	30579	8827
388	30654	8747
389	30738	8669
390	30812	8589
391	30889	8510
392	30965	8430
393	31043	8351
394	31119	8272
395	31215	8197
396	31295	8119
397	31376	8041
398	31454	7962
399	31531	7882
400	31609	7803
401	31688	7725
402	31765	7645
403	31837	7565
404	31915	7486
405	31988	7406
406	32063	7326
407	32145	7248
408	32220	7168
409	32297	7089
410	32377	7011
411	32451	6931
412	32529	6852
413	32603	6772
414	32680	6693
415	32760	6615
416	32836	6535
417	32922	6458
418	33019	6383
419	33116	6307
420	33188	6227
421	33278	6150
422	33358	6072
423	33436	5993
424	33515	5914
425	33593	5835
426	33667	5755
427	33746	5676
428	33820	5597
429	33894	5517
430	33965	5437
431	34050	5359
432	34129	5281
433	34213	5202
434	34297	5124
435	34371	5045
436	34453	4966
437	34530	4887
438	34607	4808
439	34684	4729
440	34760	4650
441	34834	4571
442	34910	4491
443	34985	4412
444	35070	4334
445	35143	4254
446	35216	4175
447	35290	4096
448	35385	4019
449	35465	3940
450	35541	3861
451	35618	3782
452	35691	3703
453	35769	3624
454	35844	3545
455	35927	3466
456	36001	3387
457	36081	3308
458	36160	3230
459	36245	3151
460	36321	3072
461	36397	2993
462	36473	2914
463	36550	2835
464	36624	2756
465	36704	2677
466	36781	2599
467	36854	2519
468	36927	2440
469	37005	2362
470	37085	2283
471	37161	2204
472	37239	2125
473	37316	2046
474	37401	1968
475	37490	1890
476	37568	1811
477	37646	1732
478	37723	1653
479	37804	1575
480	37923	1497
481	38001	1419
482	38078	1340
483	38153	1261
484	38237	1182
485	38322	1103
486	38404	1025
487	38487	946
488	38566	867
489	38642	788
490	38726	709
491	38807	631
492	38883	552
493	38957	473
494	39037	394
495	39114	315
496	39196	236
497	39271	157
498	39351	78
499	39429	0
